Date;VALE3.SA;LREN3.SA;CMIG3.SA;OIBR4.SA;BBDC3.SA;ITSA4.SA;USIM5.SA;BRML3.SA;PETR3.SA;VIVT4.SA;ENBR3.SA;RADL3.SA
2018-01-02;41.720001220703125;;6.599999904632568;3.4200000762939453;24.454500198364258;10.027299880981445;9.600000381469727;12.399999618530273;17.329999923706055;49.0099983215332;14.199999809265137;90.44999694824219
2018-01-03;41.470001220703125;;6.610000133514404;3.4200000762939453;24.545499801635742;10.145400047302246;9.920000076293945;12.359999656677246;17.549999237060547;48.41999816894531;13.5600004196167;88.20999908447266
2018-01-04;41.63999938964844;;6.550000190734863;3.4200000762939453;24.992399215698242;10.336400032043457;10.479999542236328;12.510000228881836;17.700000762939453;49.400001525878906;13.579999923706055;88.88999938964844
2018-01-05;42.290000915527344;;6.550000190734863;3.440000057220459;25.0;10.354599952697754;10.029999732971191;12.550000190734863;17.84000015258789;49.630001068115234;13.460000038146973;90.44999694824219
2018-01-08;43.22999954223633;;6.5;3.430000066757202;25.0;10.345499992370605;10.140000343322754;12.5;18.1200008392334;50.0099983215332;13.680000305175781;89.30000305175781
2018-01-09;43.06999969482422;;6.420000076293945;3.440000057220459;24.81060028076172;10.18179988861084;10.25;12.260000228881836;18.1200008392334;50.65999984741211;13.850000381469727;88.05000305175781
2018-01-10;42.470001220703125;;6.449999809265137;3.390000104904175;24.651500701904297;10.18179988861084;10.25;12.199999809265137;17.780000686645508;49.36000061035156;13.520000457763672;85.36000061035156
2018-01-11;43.29999923706055;;6.550000190734863;3.369999885559082;25.0;10.345499992370605;10.800000190734863;12.390000343322754;18.219999313354492;49.5;13.649999618530273;86.55000305175781
2018-01-12;43.54999923706055;;6.550000190734863;3.319999933242798;25.0;10.372699737548828;11.020000457763672;12.210000038146973;18.360000610351562;50.36000061035156;13.75;86.5
2018-01-15;43.470001220703125;;6.550000190734863;3.2899999618530273;25.06060028076172;10.5;11.300000190734863;12.489999771118164;18.459999084472656;49.84000015258789;13.649999618530273;86.63999938964844
2018-01-16;42.29999923706055;;6.510000228881836;3.2899999618530273;25.4773006439209;10.63640022277832;10.960000038146973;12.3100004196167;18.790000915527344;50.41999816894531;13.630000114440918;85.2300033569336
2018-01-17;43.150001525878906;;6.489999771118164;3.5;26.257600784301758;10.800000190734863;11.149999618530273;12.279999732971191;19.469999313354492;50.900001525878906;13.6899995803833;86.54000091552734
2018-01-18;42.86000061035156;;6.289999961853027;3.5;26.36359977722168;10.854599952697754;10.930000305175781;12.380000114440918;19.440000534057617;50.709999084472656;13.649999618530273;85.80000305175781
2018-01-19;42.880001068115234;;6.289999961853027;3.509999990463257;26.515199661254883;10.890899658203125;11.430000305175781;12.470000267028809;19.309999465942383;49.349998474121094;13.579999923706055;85.30000305175781
2018-01-22;42.650001525878906;;6.230000019073486;3.6500000953674316;27.045499801635742;11.163599967956543;11.25;12.40999984741211;19.510000228881836;50.25;13.699999809265137;85.33999633789062
2018-01-23;40.93000030517578;;6.119999885559082;3.5899999141693115;27.06060028076172;11.018199920654297;10.720000267028809;12.229999542236328;19.34000015258789;50.0;13.390000343322754;82.87000274658203
2018-01-24;41.779998779296875;;6.550000190734863;3.6500000953674316;28.931800842285156;11.73639965057373;11.300000190734863;12.529999732971191;20.6299991607666;52.29999923706055;13.680000305175781;84.48999786376953
2018-01-25;41.779998779296875;;6.550000190734863;3.6500000953674316;28.931800842285156;11.73639965057373;11.300000190734863;12.529999732971191;20.6299991607666;52.29999923706055;13.680000305175781;84.48999786376953
2018-01-26;41.43000030517578;;6.889999866485596;3.700000047683716;30.265199661254883;12.227299690246582;11.40999984741211;12.869999885559082;21.709999084472656;52.939998626708984;14.109999656677246;85.70999908447266
2018-01-29;41.88999938964844;;7.0;3.700000047683716;29.39389991760254;11.909099578857422;11.550000190734863;12.899999618530273;21.709999084472656;52.709999084472656;14.050000190734863;84.5
2018-01-30;41.470001220703125;;6.940000057220459;3.6500000953674316;29.545499801635742;11.981800079345703;11.579999923706055;13.0;21.18000030517578;53.22999954223633;13.970000267028809;85.0
2018-01-31;41.45000076293945;;6.920000076293945;3.5999999046325684;29.795499801635742;12.045499801635742;11.859999656677246;12.850000381469727;21.299999237060547;53.849998474121094;13.710000038146973;84.43000030517578
2018-02-01;41.790000915527344;;6.980000019073486;3.609999895095825;28.93939971923828;12.009099960327148;11.699999809265137;13.300000190734863;22.1299991607666;54.2400016784668;13.800000190734863;82.68000030517578
2018-02-02;40.79999923706055;;6.889999866485596;3.5199999809265137;28.21969985961914;11.81820011138916;11.800000190734863;13.010000228881836;21.540000915527344;53.45000076293945;13.729999542236328;81.54000091552734
2018-02-05;40.349998474121094;;6.769999980926514;3.390000104904175;27.590900421142578;11.454500198364258;11.359999656677246;12.579999923706055;20.56999969482422;52.79999923706055;13.34000015258789;81.4000015258789
2018-02-06;42.470001220703125;;6.949999809265137;3.319999933242798;28.39389991760254;11.899999618530273;11.699999809265137;12.449999809265137;21.600000381469727;54.83000183105469;13.65999984741211;80.93000030517578
2018-02-07;41.709999084472656;;6.929999828338623;3.390000104904175;27.68939971923828;11.654500007629395;11.600000381469727;12.279999732971191;20.979999542236328;54.0;13.529999732971191;81.3499984741211
2018-02-08;41.59000015258789;;6.730000019073486;3.390000104904175;26.871200561523438;11.545499801635742;11.329999923706055;12.100000381469727;20.350000381469727;52.93000030517578;13.170000076293945;80.8499984741211
